region,structure_coeff,canonical_weight,abs_structure_coeff
G_Ins_lg_and_S_cent_ins_rh,0.4623469265627578,0.09215421084088513,0.4623469265627578
G_temporal_inf_rh,0.4597275250886905,0.23818558181514804,0.4597275250886905
S_circular_insula_inf_rh,0.4577368643070483,-0.03286805328673678,0.4577368643070483
G_and_S_paracentral_lh,0.4570614910226688,-0.031194867671736452,0.4570614910226688
S_oc-temp_med_and_Lingual_rh,0.45676685272957623,0.11221334546985522,0.45676685272957623
G_occipital_sup_rh,0.45561938086072173,-0.1338802652224558,0.45561938086072173
G_front_inf-Opercular_rh,0.452891283426688,0.025787941837350958,0.452891283426688
G_occipital_middle_rh,0.4517718801579994,0.040043965303355945,0.4517718801579994
S_circular_insula_sup_rh,0.45174573208500163,0.03604099506295351,0.45174573208500163
G_temp_sup-Plan_tempo_lh,0.449515175229102,0.0011300247310336248,0.449515175229102
Medial_wall_rh,0.44939006566979256,-0.01634204428589098,0.44939006566979256
G_postcentral_lh,0.4482502797259921,0.12907072764794755,0.4482502797259921
S_central_lh,0.4476866057211879,0.07641453823979678,0.4476866057211879
G_parietal_sup_rh,0.446809903755908,0.11876775075151418,0.446809903755908
S_orbital_med-olfact_lh,0.44072325229278286,0.07346498890407431,0.44072325229278286
G_rectus_lh,0.439937157223788,-0.08668073249892007,0.439937157223788
G_precuneus_rh,0.439606798845797,0.02590137560283396,0.439606798845797
S_oc-temp_lat_rh,0.4382381367851006,-0.07197264674504773,0.4382381367851006
S_front_middle_lh,0.4373777383541744,0.00979099070133668,0.4373777383541744
S_front_sup_rh,0.4363702561418885,0.05283596637682539,0.4363702561418885
G_pariet_inf-Supramar_rh,0.4360073615011797,-0.049131266294594925,0.4360073615011797
G_front_middle_lh,0.4359913492631232,-0.03883877697622793,0.4359913492631232
G_cuneus_rh,0.43476853258084786,-0.0011154241715665523,0.43476853258084786
G_front_middle_rh,0.4344760690275338,-0.038844265193174,0.4344760690275338
G_and_S_frontomargin_lh,0.4314362797960849,-0.021704475555320752,0.4314362797960849
